VIN,Selling Dealership,Vehicle,Floor Price,Orig. Closing Price
KNDPNCAC9H7151254,Indy Wholesale Direct,2017 Kia Sportage EX,"$4,000","$3,050"
3VW3L7AJ0DM243361,Indy Wholesale Direct,2013 Volkswagen Jetta TDI,"$2,500",$0
1N4AA51E79C814687,Andy Mohr Kia,2009 Nissan Maxima SV,"$3,000",$0
1G1ZD5ST9JF106597,Andy Mohr Kia,2018 Chevrolet Malibu LT,"$8,800",$0
JN8AT3BB8MW205584,Tom Wood Nissan,2021 Nissan Rogue SV,"$21,500","$19,550"
1GKS2CKJ9JR113912,Andy Mohr Kia,2018 GMC Yukon Denali,"$27,000",$0
1FADP3E25EL357324,Unlimited Motors 2,2014 Ford Focus S,$600,$300
2GCEK19T2X1238966,Andy Mohr Kia,1999 Chevrolet Silverado 1500 LS,"$2,500","$1,300"
NM0LS6F20K1408284,Unlimited Motors 2,2019 Ford Transit Connect XLT,"$18,000",$0
3GCPDKEK1NG563425,Andy Mohr Kia,2022 Chevrolet Silverado 1500 LT,"$34,000",$0
1GCPYBEHXKZ421515,Mike Anderson CDJ Rochester,2019 Chevrolet Silverado 1500 Custom,"$28,500","$26,300"
1GNSKTKL2NR296760,"Hobson Chevrolet Buick GMC, LLC",2022 Chevrolet Tahoe High Country,"$58,700",$0
3FMCR9B63NRE34327,"Hobson Chevrolet Buick GMC, LLC",2022 Ford Bronco Sport Big Bend,"$25,800","$23,600"
WP0AD2A92RS252092,Bentley Indianapolis,2024 Porsche 911 Turbo S,"$254,990",$0
1GNERHKW4PJ173754,"Hobson Chevrolet Buick GMC, LLC",2023 Chevrolet Traverse LT Leather,"$32,500",$0
3C7WRNCL7EG244821,H.E. McGonigal Buick Cadillac GMC,2014 Dodge Ram 5500,$1,"$12,600"
5GAKRBKD3HJ175473,"Don Hinds Ford, Inc",2017 Buick Enclave Leather,"$6,000",$0
5N1DL0MM2LC523220,Andy Mohr Kia,2020 INFINITI QX60 Pure,"$15,000",$0
1C4RJFDJ8FC802930,Andy Mohr Kia,2015 Jeep Grand Cherokee SRT,"$29,000",$0
1B3HB28B48D676553,Andy Mohr Kia,2008 Dodge Caliber SE,"$2,000",$0
1B3HB48B37D527156,Andy Mohr Kia,2007 Dodge Caliber SXT,"$1,000",$250
2GKALMEK6G6102003,Hunter Ford,2016 GMC Terrain SLE-1,"$6,500",$0
1FAFP56U47A178520,Hunter Ford,2007 Ford Taurus SEL,$600,$500
WBAKC6C57BC395223,KIA of Muncie,2011 BMW 7-Series 750xi,"$8,000","$5,950"
JTEBU4BF7BK110522,NAPLETON KIA OF FISHERS,2011 Toyota FJ Cruiser Base,"$14,000",$0
NMTKHMBX1KR080474,KIA of Muncie,2019 Toyota C-HR Limited,"$11,500",$0
1C6RR7KT6HS834181,Academy CDJR,2017 Ram 1500 Express,"$11,500",$0
1G4PR5SK1D4233010,HP Auto,2013 Buick Verano Convenience Group,"$2,100",$0
1B7HG38NX2S590506,"Purcell Auto Sales, LLC",2002 Dodge Dakota Sport,"$2,200",$0
W1NYC7HJ9MX393700,Indy Wholesale Direct,2021 Mercedes-Benz G-Class AMG G 63,"$195,000",$0
2CTFLJEW1A6270288,Zoom Auto Outlet LLC,2010 GMC Terrain SLT-2,"$3,500",$0
1FMEE5JR2PLC05163,Indy Wholesale Direct,2023 Ford Bronco Raptor,"$80,000",$0
3GNDA13D37S564819,Drive Hubler Certified Pre-Owned,2007 Chevrolet HHR LS,"$1,500",$550
5XXGU4L3XJG205812,Drive Hubler Certified Pre-Owned,2018 Kia Optima EX,"$7,000",$0
1FMDE5BH6PLA97941,Hobson Ford Lincoln Inc,2023 Ford Bronco Big Bend,"$41,000","$38,000"
1FMCU9GX8DUB98782,Hobson Ford Lincoln Inc,2013 Ford Escape SE,"$2,000","$1,000"
KNDC3DLC7R5614917,Bob Rohrman Kia,2024 Kia EV6 Wind,"$37,900",$0
1N4BZ1DV2NC551889,Ed Martin Nissan,2022 Nissan LEAF SL Plus,"$17,500",$0
00000004752905970,Enthusiast Autohaus,1974 Porsche  914,"$12,300",$0
KM8SG13D67U078788,Drive Hubler Certified Pre-Owned,2007 Hyundai SANTA FE GLS,"$1,500",$600
1FM5K8GC2LGD18997,Drive Hubler Certified Pre-Owned,2020 Ford Explorer ST,"$35,000",$0
KMHDN46D95U169191,Andy Mohr Kia,2005 Hyundai ELANTRA GLS,"$1,500",$0
1G1PG5SB9F7202365,Andy Mohr Kia,2015 Chevrolet Cruze LTZ Auto,"$3,000","$2,000"
1C6HJTFG4PL527268,Defouw Chevrolet,2023 Jeep Gladiator Overland,"$33,600","$30,100"
5GAKVCED9BJ289658,Ed Martin Buick GMC,2011 Buick Enclave CXL-2,"$2,000",$0
JS2YB413175108482,Andy Mohr Kia,2007 Suzuki SX4 Base,"$4,000",$0
